item,trial type,max time,text,Shuffle 1,survey,
0,create_feedback,user,,off,,
0,instruct,user,You will be given some arithmetic to do. Please complete in your own time,off,,
0,survey,user,,off,arithmetic_feelings.csv,
2 to 11,arithmetic,user,,practice,,
0,survey,user,,off,arithmetic_feelings.csv,
0,instruct,user,Please take a break and start the next block when you're ready,,,
12 to 21,arithmetic_feedback,user,,trials,,
0,survey,user,,off,arithmetic_feelings.csv,
0,instruct,user,Please take a break and start the next block when you're ready,,,
22 to 31,arithmetic_feedback,user,,trials,,
0,survey,user,,off,arithmetic_feelings.csv,
0,survey,user,,off,py2rm_2020_single_items.csv,
0,survey,user,locus of control,off,,
0,survey,user,BFI,off,,
,,,,,,