item_name,text,Type,Answers,Values,Score: AQ_Test,Score: Social_Skill,Score: Attention_switching,Score: Communication,Score: Imagination,Score: Attention_to_detail,Optional,btn_width,side_text,
Instructions1,"Describe how the items are paired
<br>
<br>
<br>
<span style='color:#006699'><span style='font-size:20px'>Choose one response that best describes how strongly each item applies to you:</span></span>",Instruct,,,,,,,,,,,,
asdf,,,,,,,,,,,,,,
instruct1,<span style='font-size:30'><b>I prefer to do things with others rather than on my own.</b></span>,instruct,,,,,,,,,,,,
,,,,,,,,,,,,,,
AQ_attention_check,,,,,,,,,,,,,,
AQ1,How strongly does this statement apply to you,likert,Definitely disagree|Slightly disagree|Slightly agree|Definitely agree,0|0|1|1,1,1,,,,,No,100px,,
AQS1,How much do you feel you have been shamed/stigmatised for this behaviour?,likert,1|2|3|4|5|6|7,1|2|3|4|5|6|7,,,,,,,,,Not at all stigmatised|Extremely Stigmatised,
,,,,,,,,,,,,,,